id,official,short
1,アイスランド共和国,アイスランド
2,アイルランド,アイルランド
3,アゼルバイジャン共和国,アゼルバイジャン
4,アフガニスタン・イスラム首長国,アフガニスタン・イスラム
5,アメリカ合衆国,アメリカ
6,アラブ首長国連邦,アラブ
7,アルジェリア民主人民共和国,アルジェリア
8,アルゼンチン共和国,アルゼンチン
9,アルバニア共和国,アルバニア
10,アルメニア共和国,アルメニア
11,アンゴラ共和国,アンゴラ
12,アンティグア・バーブーダ,アンティグア・バーブーダ
13,アンドラ公国,アンドラ
14,イエメン共和国,イエメン
15,グレートブリテン及び北アイルランド連合王国,イギリス
16,イスラエル国,イスラエル
17,イタリア共和国,イタリア
18,イラク共和国,イラク
19,イラン・イスラム共和国,イラン
20,インド,インド
21,インドネシア共和国,インドネシア
22,ウガンダ共和国,ウガンダ
23,ウクライナ,ウクライナ
24,ウズベキスタン共和国,ウズベキスタン
25,ウルグアイ東方共和国,ウルグアイ
26,エクアドル共和国,エクアドル
27,エジプト・アラブ共和国,エジプト
28,エストニア共和国,エストニア
29,エスワティニ王国,エスワティニ
30,エチオピア連邦民主共和国,エチオピア
31,エリトリア国,エリトリア
32,エルサルバドル共和国,エルサルバドル
33,オーストラリア連邦,オーストラリア
34,オーストリア共和国,オーストリア
35,オマーン国,オマーン
36,オランダ王国,オランダ
37,ガーナ共和国,ガーナ
38,カーボベルデ共和国,カーボベルデ
39,ガイアナ共和国,ガイアナ
40,カザフスタン共和国,カザフスタン
41,カタール国,カタール
42,カナダ,カナダ
43,ガボン共和国,ガボン
44,カメルーン共和国,カメルーン
45,ガンビア共和国,ガンビア
46,カンボジア王国,カンボジア
47,北マケドニア共和国,北マケドニア
48,ギニア共和国,ギニア
49,ギニアビサウ共和国,ギニアビサウ
50,キプロス共和国,キプロス
51,キューバ共和国,キューバ
52,ギリシャ共和国,ギリシャ
53,キリバス共和国,キリバス
54,キルギス共和国,キルギス
55,グアテマラ共和国,グアテマラ
56,クウェート国,クウェート
57,グレナダ,グレナダ
58,クロアチア共和国,クロアチア
59,ケニア共和国,ケニア
60,コートジボワール共和国,コートジボワール
61,コスタリカ共和国,コスタリカ
62,コモロ連合,コモロ連合
63,コロンビア共和国,コロンビア
64,コンゴ共和国,コンゴ
65,コンゴ民主共和国,コンゴ
66,サウジアラビア王国,サウジアラビア
67,サモア独立国,サモア
68,サントメ・プリンシペ民主共和国,サントメ・プリンシペ
69,ザンビア共和国,ザンビア
70,サンマリノ（サンマリノ共和国）,サンマリノ
71,シエラレオネ共和国,シエラレオネ
72,ジブチ共和国,ジブチ
73,ジャマイカ,ジャマイカ
74,ジョージア,ジョージア
75,シリア・アラブ共和国,シリア・アラブ
76,シンガポール共和国,シンガポール
77,ジンバブエ共和国,ジンバブエ
78,スイス連邦,スイス連邦
79,スウェーデン王国,スウェーデン
80,スーダン共和国,スーダン
81,スペイン王国,スペイン
82,スリナム共和国,スリナム
83,スリランカ民主社会主義共和国,スリランカ
84,スロバキア共和国,スロバキア
85,スロベニア共和国,スロベニア
86,セーシェル共和国,セーシェル
87,赤道ギニア共和国,赤道ギニア
88,セネガル共和国,セネガル
89,セルビア共和国,セルビア
90,セントクリストファー・ネイビス連邦,セントクリストファー・ネイビス
91,セントビンセント及びグレナディーン諸島,セントビンセント及びグレナディーン諸島
92,セントルシア,セントルシア
93,ソマリア連邦共和国,ソマリア
94,ソロモン諸島,ソロモン
95,タイ王国,タイ
96,大韓民国,韓国
97,タジキスタン共和国,タジキスタン
98,タンザニア連合共和国,タンザニア
99,チェコ共和国,チェコ
100,チャド共和国,チャド
101,中央アフリカ共和国,中央アフリカ
102,中華人民共和国,中国
103,チュニジア共和国,チュニジア
104,朝鮮民主主義人民共和国,北朝鮮
105,チリ共和国,チリ
106,ツバル,ツバル
107,デンマーク王国,デンマーク
108,ドイツ連邦共和国,ドイツ
109,トーゴ共和国,トーゴ
110,ドミニカ共和国,ドミニカ共和国
111,ドミニカ国,ドミニカ国
112,トリニダード・トバゴ共和国,トリニダード・トバゴ
113,トルクメニスタン,トルクメニスタン
114,トルコ共和国,トルコ
115,トンガ王国,トンガ
116,ナイジェリア連邦共和国,ナイジェリア
117,ナウル共和国,ナウル
118,ナミビア共和国,ナミビア
119,ニカラグア共和国,ニカラグア
120,ニジェール共和国,ニジェール
121,日本国,日本
122,ニュージーランド,ニュージーランド
123,ネパール連邦民主共和国,ネパール
124,ノルウェー王国,ノルウェー
125,バーレーン王国,バーレーン
126,ハイチ共和国,ハイチ
127,パキスタン・イスラム共和国,パキスタン・イスラム
128,パナマ共和国,パナマ
129,バヌアツ共和国,バヌアツ
130,バハマ国,バハマ
131,パプアニューギニア独立国,パプアニューギニア
132,パラオ共和国,パラオ
133,パラグアイ共和国,パラグアイ
134,バルバドス,バルバドス
135,ハンガリー,ハンガリー
136,バングラデシュ人民共和国,バングラデシュ
137,東ティモール民主共和国,東ティモール
138,フィジー共和国,フィジー
139,フィリピン共和国,フィリピン
140,フィンランド共和国,フィンランド
141,ブータン王国,ブータン
142,ブラジル連邦共和国,ブラジル
143,フランス共和国,フランス
144,ブルガリア共和国,ブルガリア
145,ブルキナファソ,ブルキナファソ
146,ブルネイ・ダルサラーム国,ブルネイ・ダルサラーム
147,ブルンジ共和国,ブルンジ
148,ベトナム社会主義共和国,ベトナム
149,ベナン共和国,ベナン
150,ベネズエラ・ボリバル共和国,ベネズエラ・ボリバル
151,ベラルーシ共和国,ベラルーシ
152,ベリーズ,ベリーズ
153,ペルー共和国,ペルー
154,ベルギー王国,ベルギー
155,ポーランド共和国,ポーランド
156,ボスニア・ヘルツェゴビナ,ボスニア・ヘルツェゴビナ
157,ボツワナ共和国,ボツワナ
158,ボリビア多民族国,ボリビア
159,ポルトガル共和国,ポルトガル
160,ホンジュラス共和国,ホンジュラス
161,マーシャル諸島共和国,マーシャル諸島
162,マダガスカル共和国,マダガスカル
163,マラウイ共和国,マラウイ
164,マリ共和国,マリ
165,マルタ共和国,マルタ
166,マレーシア,マレーシア
167,ミクロネシア連邦,ミクロネシア
168,南アフリカ共和国,南アフリカ
169,南スーダン共和国,南スーダン
170,ミャンマー連邦共和国,ミャンマー
171,メキシコ合衆国,メキシコ
172,モーリシャス共和国,モーリシャス
173,モーリタニア・イスラム共和国,モーリタニア・イスラム
174,モザンビーク共和国,モザンビーク
175,モナコ公国,モナコ
176,モルディブ共和国,モルディブ
177,モルドバ共和国,モルドバ
178,モロッコ王国,モロッコ
179,モンゴル国,モンゴル
180,モンテネグロ,モンテネグロ
181,ヨルダン・ハシミテ王国,ヨルダン・ハシミテ
182,ラオス人民民主共和国,ラオス
183,ラトビア共和国,ラトビア
184,リトアニア共和国,リトアニア
185,リビア,リビア
186,リヒテンシュタイン公国,リヒテンシュタイン
187,リベリア共和国,リベリア
188,ルーマニア,ルーマニア
189,ルクセンブルク大公国,ルクセンブルク
190,ルワンダ共和国,ルワンダ
191,レソト王国,レソト
192,レバノン共和国,レバノン
193,ロシア連邦,ロシア
194,バチカン市国,バチカン
195,中華民国,台湾